행정구역코드	1단계	2단계	3단계	격자 X	격자 Y	경도(시)	경도(분)	경도(초)	위도(시)	위도(분)	위도(초)	경도(초/100)	위도(초/100)
4129053000	경기도	과천시	별양동	60	124	126	59	45.2	37	25	17.17	126.99588888888889	37.421436111111106
4129054000	경기도	과천시	부림동	60	124	127	0	2.4	37	25	50.51	127.00066666666666	37.43069722222222
4129055000	경기도	과천시	과천동	60	124	126	59	51.11	37	26	44.01	126.99753055555556	37.44555833333333
4129056000	경기도	과천시	문원동	60	124	127	0	16.44	37	25	38.26	127.00456666666666	37.42729444444444
4131000000	경기도	구리시	nil	62	127	127	7	54.71	37	35	29.85	127.13186388888889	37.591625
4131051000	경기도	구리시	갈매동	62	128	127	7	6.15	37	37	56.22	127.118375	37.63228333333333
4131052000	경기도	구리시	동구동	63	128	127	8	29.4	37	36	32.38	127.14150000000001	37.60899444444445
4131053000	경기도	구리시	인창동	63	128	127	8	13.59	37	36	6.17	127.13710833333334	37.60171388888889
4131054100	경기도	구리시	교문1동	62	127	127	7	47.59	37	35	54.33	127.1298861111111	37.598425
4131054200	경기도	구리시	교문2동	63	127	127	8	10.96	37	35	3.2	127.13637777777778	37.58422222222222
4131057000	경기도	구리시	수택1동	63	127	127	9	4.64	37	35	37.32	127.1512888888889	37.593700000000005
4131058000	경기도	구리시	수택2동	63	127	127	8	31.76	37	35	25.51	127.14215555555556	37.59041944444445
4131059000	경기도	구리시	수택3동	63	127	127	8	35.11	37	35	20.51	127.14308611111112	37.58903055555556
4136000000	경기도	남양주시	nil	64	128	127	13	7.08	37	37	59.44	127.21863333333333	37.63317777777778
4136025000	경기도	남양주시	와부읍	64	127	127	12	47.91	37	35	6.01	127.21330833333333	37.58500277777778
4136025300	경기도	남양주시	진접읍	63	130	127	11	31.08	37	43	25.01	127.19196666666667	37.72361388888889
4136025600	경기도	남양주시	화도읍	65	129	127	18	39.0	37	38	58.63	127.31083333333333	37.64961944444445
4136025900	경기도	남양주시	진건읍	63	129	127	10	53.59	37	39	14.92	127.18155277777778	37.65414444444444
4136026200	경기도	남양주시	오남읍	64	130	127	12	24.0	37	41	46.23	127.20666666666666	37.696175
4136031000	경기도	남양주시	별내면	62	129	127	7	13.96	37	39	41.07	127.12054444444443	37.661408333333334
4136034000	경기도	남양주시	수동면	66	130	127	19	41.64	37	42	2.82	127.32823333333333	37.700783333333334
4136036000	경기도	남양주시	조안면	65	126	127	18	19.96	37	31	59.04	127.30554444444444	37.53306666666666
4136051000	경기도	남양주시	호평동	64	129	127	15	4.08	37	39	6.29	127.25113333333333	37.65174722222222
4136052000	경기도	남양주시	평내동	64	128	127	14	17.44	37	38	44.51	127.23817777777778	37.645697222222225
4136053000	경기도	남양주시	금곡동	64	128	127	12	28.4	37	37	45.42	127.20788888888889	37.62928333333333
4136054000	경기도	남양주시	양정동	63	128	127	11	21.4	37	36	48.7	127.18927777777778	37.613527777777776
4136054500	경기도	남양주시	다산1동	63	128	127	9	39.76	37	36	15.95	127.16104444444446	37.60443055555556
4136056500	경기도	남양주시	다산2동	63	128	127	10	14.15	37	36	23.75	127.17059722222223	37.60659722222223
4136057000	경기도	남양주시	별내동	62	128	127	7	18.72	37	38	46.18	127.121868	37.646161
4136026500	경기도	남양주시	퇴계원읍	63	128	127	8	48.2	37	38	47.7	127.14672222222222	37.64658333333333
4137000000	경기도	오산시	nil	62	118	127	4	46.71	37	8	48.89	127.07964166666666	37.14691388888889
4137051000	경기도	오산시	중앙동	62	118	127	4	21.52	37	8	46.98	127.07264444444444	37.14638333333333
4137053000	경기도	오산시	남촌동	61	118	127	3	55.91	37	9	6.3	127.06553055555555	37.15175
4137054000	경기도	오산시	신장동	61	118	127	3	57.67	37	9	25.98	127.06601944444444	37.15721666666666
4137055000	경기도	오산시	세마동	61	118	127	2	25.67	37	11	1.94	127.0404638888889	37.18387222222222
4137056000	경기도	오산시	초평동	61	117	127	2	33.84	37	8	13.23	127.04273333333333	37.137008333333334
4137057000	경기도	오산시	대원동	62	117	127	4	25.67	37	8	8.69	127.07379722222223	37.13574722222222
4139000000	경기도	시흥시	nil	57	123	126	48	18.28	37	22	38.35	126.80507777777777	37.377319444444446
4139051000	경기도	시흥시	대야동	57	124	126	47	26.15	37	26	24.85	126.79059722222222	37.440236111111105
4139052000	경기도	시흥시	신천동	57	124	126	47	13.67	37	26	8.08	126.78713055555555	37.43557777777777
4139053100	경기도	시흥시	신현동	57	123	126	47	12.2	37	24	12.07	126.78672222222222	37.403352777777776
4139054000	경기도	시흥시	은행동	57	124	126	48	0.28	37	26	0.61	126.80007777777777	37.433502777777775
4139055000	경기도	시흥시	매화동	57	123	126	49	3.64	37	24	53.48	126.81767777777777	37.414855555555555
4139057000	경기도	시흥시	목감동	58	123	126	51	33.91	37	22	54.2	126.85941944444444	37.38172222222222
4139058100	경기도	시흥시	군자동	57	122	126	47	13.76	37	20	13.55	126.78715555555556	37.337097222222226
4139058200	경기도	시흥시	월곶동	56	123	126	44	23.26	37	23	18.9	126.7397944	37.38858333
4139058900	경기도	시흥시	정왕본동	56	122	126	45	0.88	37	20	33.0	126.75024444444445	37.3425
4139059100	경기도	시흥시	정왕1동	56	122	126	44	45.52	37	20	13.86	126.74597777777778	37.337183333333336
4139059200	경기도	시흥시	정왕2동	56	122	126	43	51.32	37	20	53.47	126.73092222222222	37.34818611111111
4139059300	경기도	시흥시	정왕3동	56	122	126	43	42.2	37	21	17.73	126.72838888888889	37.354925
4139059400	경기도	시흥시	정왕4동	56	122	126	44	4.03	37	21	45.92	126.73445277777778	37.36275555555556
4139059500	경기도	시흥시	배곧동	56	122	126	43	51.20	37	22	6.09	126.730890	37.368358
4139062100	경기도	시흥시	과림동	57	124	126	50	5.84	37	26	2.42	126.83495555555555	37.43400555555555
4139063000	경기도	시흥시	연성동	57	123	126	48	20.0	37	22	43.77	126.80555555555556	37.378825
4139063100	경기도	시흥시	장곡동	57	123	126	47	0.02	37	22	46.43	126.7833389	37.37956389
4139064000	경기도	시흥시	능곡동	57	122	126	48	57.04	37	21	58.75	126.8158456	37.36631832
4141000000	경기도	군포시	nil	59	122	126	56	15.0	37	21	31.17	126.9375	37.35865833333334
4141051000	경기도	군포시	군포1동	59	122	126	56	51.28	37	21	2.92	126.94757777777778	37.35081111111111
4141052000	경기도	군포시	군포2동	59	122	126	56	42.55	37	20	36.98	126.94515277777778	37.343605555555555
4141054000	경기도	군포시	산본1동	59	122	126	56	26.23	37	22	13.92	126.94061944444445	37.370533333333334
4141055000	경기도	군포시	산본2동	59	122	126	56	5.32	37	22	1.91	126.93481111111112	37.367197222222224
4141056000	경기도	군포시	금정동	59	122	126	56	28.96	37	21	45.2	126.94137777777779	37.36255555555556
4141057000	경기도	군포시	재궁동	59	122	126	56	28.23	37	21	20.51	126.941175	37.355697222222226
4141058000	경기도	군포시	오금동	59	122	126	55	53.91	37	20	53.57	126.93164166666668	37.34821388888889
4141059000	경기도	군포시	수리동	59	122	126	55	23.28	37	21	11.57	126.92313333333334	37.35321388888889
4141060000	경기도	군포시	궁내동	59	122	126	55	26.03	37	21	24.51	126.92389722222222	37.35680833333333
4141061000	경기도	군포시	대야동	59	122	126	55	2.84	37	19	38.79	126.91745555555556	37.32744166666667
4141062000	경기도	군포시	광정동	59	122	126	55	48.11	37	21	33.26	126.93003055555556	37.35923888888889
4143000000	경기도	의왕시	nil	60	122	126	58	13.4	37	20	31.02	126.97038888888889	37.341950000000004
4143051000	경기도	의왕시	고천동	60	122	126	58	40.71	37	20	42.25	126.977975	37.34506944444445
4143052000	경기도	의왕시	부곡동	60	121	126	57	32.08	37	18	57.17	126.95891111111112	37.31588055555555
4143053000	경기도	의왕시	오전동	60	122	126	58	25.11	37	21	2.5	126.97364166666667	37.35069444444444
4143054000	경기도	의왕시	내손1동	60	123	126	58	38.4	37	23	2.14	126.97733333333333	37.38392777777778
4143055000	경기도	의왕시	내손2동	60	123	126	58	59.2	37	23	2.2	126.98311111111111	37.383944444444445
4143056000	경기도	의왕시	청계동	60	123	126	59	53.0	37	23	8.73	126.99805555555555	37.385758333333335
4145000000	경기도	하남시	nil	64	126	127	13	1.2	37	32	11.39	127.217	37.53649722222222
4145051000	경기도	하남시	천현동	64	126	127	13	34.28	37	30	59.23	127.22618888888888	37.51645277777778
4145052000	경기도	하남시	신장1동	64	126	127	12	42.2	37	32	9.42	127.21172222222222	37.53595
4145053000	경기도	하남시	신장2동	64	126	127	12	58.08	37	32	20.1	127.21613333333333	37.538916666666665
4145054000	경기도	하남시	덕풍1동	64	126	127	12	9.71	37	31	50.6	127.20269722222223	37.530722222222224
4145055000	경기도	하남시	덕풍2동	64	126	127	12	0.91	37	32	22.11	127.20025277777778	37.539474999999996
4145056000	경기도	하남시	덕풍3동	64	126	127	12	31.91	37	32	27.76	127.20886388888889	37.541044444444445
4145057000	경기도	하남시	풍산동	63	126	127	11	13.96	37	32	46.36	127.18721111111111	37.54621111111111
4145058000	경기도	하남시	감북동	63	126	127	9	49.96	37	30	48.35	127.16387777777778	37.51343055555556
4145058500	경기도	하남시	위례동	63	125	127	9	9	37	28	37.79	127.152502	37.4771641
4145059000	경기도	하남시	춘궁동	64	126	127	11	46.32	37	31	9.86	127.1962	37.51940555555556
4145060000	경기도	하남시	초이동	63	126	127	10	22.47	37	32	1.39	127.17290833333334	37.53371944444444
4145061000	경기도	하남시	미사1동	64	127	127	11	45.84	37	33	58.88	127.1960667	37.56635556
4145062000	경기도	하남시	미사2동	63	127	127	11	9.29	37	34	1.36	127.1859139	37.56704444
4146100000	경기도	용인시처인구	nil	64	119	127	12	13.84	37	13	53.32	127.20384444444444	37.231477777777776
4146125000	경기도	용인시처인구	포곡읍	64	120	127	13	58.59	37	16	30.22	127.23294166666666	37.27506111111111
4146125300	경기도	용인시처인구	모현읍	64	122	127	14	40.55	37	19	35.94	127.24459722222223	37.32665
4146125600	경기도	용인시처인구	이동읍	64	117	127	11	53.88	37	8	17.51	127.1983	37.138197222222225
4146132000	경기도	용인시처인구	남사면	63	117	127	9	9.71	37	6	46.39	127.15269722222223	37.11288611111111
4146134000	경기도	용인시처인구	원삼면	66	118	127	18	54.44	37	9	48.67	127.31512222222221	37.16351944444445
